,CMT_SJ1_19Aug24_Gill_S203_L005,CMT_SJ1_20Jun24_Gill_S191_L005,CMT_SJ1_22Jul24_Gill_S197_L005,CMT_SJ2_19Aug24_Gill_S204_L005,CMT_SJ2_20Jun24_Gill_S192_L005,CMT_SJ2_22Jul24_Gill_S198_L005,CMT_SJ3_19Aug24_Gill_S205_L005,CMT_SJ3_20Jun24_Gill_S193_L005,CMT_SJ3_22Jul24_Gill_S199_L005,DAF_SJ1_20Aug24_Gill_S206_L005,DAF_SJ1_21Jun24_Gill_S194_L005,DAF_SJ1_23Jul24_Gill_S200_L005,DAF_SJ2_20Aug24_Gill_S207_L005,DAF_SJ2_21Jun24_Gill_S195_L005,DAF_SJ2_23Jul24_Gill_S201_L005,DAF_SJ3_20Aug24_Gill_S208_L005,DAF_SJ3_21Jun24_Gill_S196_L005,DAF_SJ3_23Jul24_Gill_S202_L005
evm.TU.Chr05.70,5503,5760,5897,7090,6683,7080,6140,4053,10889,4930,7634,8578,4533,7038,5981,4311,7356,5517
evm.TU.Chr05.71,405,239,190,153,364,287,358,335,491,443,265,388,318,322,450,484,435,407
evm.TU.Chr05.72,2339,1977,3490,2881,2034,2678,1947,2314,1691,2020,2306,2950,1636,1860,2295,2403,2739,2623
evm.TU.Chr05.73,71,45,33,22,11,22,26,21,54,21,18,23,15,5,32,45,27,48
evm.TU.Chr05.74,0,0,3,2,6,2,2,1,0,0,0,3,0,3,1,0,0,0
evm.TU.Chr05.75,2357,2773,823,2487,2690,3648,3997,3734,2825,1702,2408,2106,2665,3187,2648,2303,2796,1696
evm.TU.Chr05.76,7,18,25,23,94,9,23,24,14,14,17,23,7,13,12,20,24,1
evm.TU.Chr05.77,1265,1432,1327,785,1225,1700,1099,834,905,1087,1532,1150,975,1669,1788,1048,349,1763
evm.TU.Chr05.78,60,12,34,147,22,135,57,13,95,46,51,93,103,35,56,60,29,72
evm.TU.Chr05.79,4130,3483,2901,1467,3960,4624,5177,3994,3493,2026,2306,3422,1558,3536,1465,875,3272,1228
evm.TU.Chr05.80,0,2,0,0,0,0,0,0,0,2,41,0,4,0,2,3,0,1
evm.TU.Chr05.81,28799,44437,24879,21299,31334,49101,38696,36198,30165,25634,24737,45510,23609,21502,56507,28978,28130,30164
evm.TU.Chr05.82,162,294,243,147,271,453,306,254,289,269,352,273,196,417,300,281,322,222
evm.TU.Chr05.83,1325,1665,1464,1328,2050,1545,1398,1438,1627,1497,1403,1496,1103,1330,1536,1450,1500,1557
evm.TU.Chr05.84,0,0,0,0,0,0,0,0,0,2,0,0,7,2,7,0,1,0
evm.TU.Chr05.85,0,0,0,0,0,0,0,0,0,2,0,2,21,0,0,22,2,0
evm.TU.Chr05.88,58,94,94,385,145,107,93,148,228,121,111,80,113,103,173,119,252,109
evm.TU.Chr05.89,7381,8715,5217,4855,7424,5218,7027,5487,7392,6973,8387,7601,5610,7160,7593,5587,8599,6016
evm.TU.Chr05.90,360,1051,522,740,1154,776,1184,1004,844,793,817,1351,783,800,672,644,1134,729
evm.TU.Chr05.91,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
evm.TU.Chr05.93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
evm.TU.Chr05.94,0,38,0,0,0,0,0,0,0,0,44,0,142,0,0,0,0,1
evm.TU.Chr05.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
evm.TU.Chr05.98,0,0,0,0,0,0,13,3,0,0,30,12,0,0,0,0,0,0
evm.TU.Chr05.99,4457,6871,3989,2135,5283,4705,4796,2719,4838,4091,5589,6073,4331,5013,3907,4688,5933,5069
evm.TU.Chr05.100,450,1056,1066,726,1265,1438,1298,1094,1323,1181,1291,1338,1579,1239,888,1627,1336,890
evm.TU.Chr05.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.102,231,229,128,203,218,225,120,243,389,114,332,217,217,195,147,189,140,165
evm.TU.Chr05.103,9632,11532,8379,10087,9410,10171,8610,9431,9760,7522,9689,10583,6811,9052,9687,9821,8726,9307
evm.TU.Chr05.104,5890,6574,7349,8571,6413,7508,5356,7574,7886,6340,4129,7833,4491,5265,8932,7883,7522,8221
evm.TU.Chr05.105,3837,2839,2856,3612,2387,3466,2075,2534,2229,2054,2430,3175,2069,2303,2704,2494,2260,2435
evm.TU.Chr05.106,7534,7686,6449,7446,7607,6999,4885,5539,6050,5881,5933,6960,4818,5139,6130,6338,4583,5642
evm.TU.Chr05.107,2543,1932,3723,1836,1698,2563,2207,1903,1810,2026,1791,1695,1264,2608,2342,1718,3224,2080
evm.TU.Chr05.108,4747,4487,4529,3892,5630,4898,4477,3788,4537,4050,4988,5651,4052,4554,6073,4486,4969,4749
evm.TU.Chr05.109,883,1823,893,806,1738,1495,1785,1570,1463,1441,1612,1605,1216,1760,1841,1723,1591,1446
evm.TU.Chr05.110,1297,865,977,1341,1198,889,835,921,1231,770,770,736,780,765,715,788,900,557
evm.TU.Chr05.111,0,5,0,11,2,1,0,2,1,0,4,1,0,0,0,2,2,0
evm.TU.Chr05.112,6211,3124,3571,5191,4737,6645,4634,3178,4578,3958,4027,4383,3719,3669,5171,4093,4280,2734
evm.TU.Chr05.114,799,699,516,911,621,654,506,634,688,578,1325,843,508,720,601,549,656,542
evm.TU.Chr05.115,7,12,17,47,83,44,68,43,37,45,54,17,28,61,42,29,48,38
evm.TU.Chr05.116,690,807,572,510,1060,698,650,871,552,689,881,1181,546,867,552,520,396,466
evm.TU.Chr05.117,24,28,0,6,9,4,11,10,22,8,80,9,25,0,2,22,4,66
evm.TU.Chr05.118,966,1263,1550,699,1428,1916,1195,1199,1529,1391,1221,1329,1095,1585,1725,1355,1907,1130
evm.TU.Chr05.119,1830,3549,2342,1945,2969,2747,2516,2476,3239,2040,2956,2974,2108,3210,2861,2614,3077,2942
evm.TU.Chr05.120,242,262,112,227,271,172,238,223,184,174,189,159,204,178,185,189,172,176
evm.TU.Chr05.121,1676,2484,1757,1472,2712,3181,2800,1951,2405,3047,2503,2875,2181,4380,2712,2874,2906,3199
evm.TU.Chr05.122,5711,6799,5314,7233,6217,7742,5907,6346,5859,8165,6529,6579,5466,7997,5310,7018,6160,7934
evm.TU.Chr05.123,9936,8847,9120,13815,9325,9006,7345,10082,8895,6448,7192,10521,5403,6772,8231,8063,8943,7712
evm.TU.Chr05.124,126,195,182,139,187,183,212,155,219,122,136,146,176,203,210,176,128,126
evm.TU.Chr05.125,3805,5638,5136,3041,5933,7816,6010,5719,5850,4812,6280,7937,4944,8282,6037,4732,7051,3543
evm.TU.Chr05.126,1,2,242,300,12,224,6,202,131,205,31,8,26,127,379,48,42,81
evm.TU.Chr05.127,0,99,0,16,148,0,139,34,29,60,9,77,38,16,289,11,0,41
evm.TU.Chr05.129,329,715,148,684,885,291,270,535,1358,657,343,349,570,270,714,757,466,1538
evm.TU.Chr05.130,4,9,6,2,1,13,4,1,2,4,9,12,2,6,5,1,11,2
evm.TU.Chr05.131,19242,17304,13111,10750,19155,16469,18094,13448,15994,13205,15776,18659,10989,15565,19900,14246,16013,14431
evm.TU.Chr05.132,1854,1853,1673,1727,2093,2572,1650,1876,2120,1814,2367,2203,1763,1973,1979,1989,1973,1907
evm.TU.Chr05.133,119,120,108,449,157,269,160,222,374,216,1113,541,131,165,527,178,235,214
evm.TU.Chr05.134,5442,5049,3698,3454,3789,4578,4228,2677,3495,4223,3945,4504,2753,4618,4013,5566,3368,4072
evm.TU.Chr05.135,2,9,14,0,0,0,8,0,3,0,0,15,0,4,0,0,0,2
evm.TU.Chr05.136,14,26,2,9,39,114,28,5,15,36,31,11,0,16,0,9,0,22
evm.TU.Chr05.137,461,312,235,297,394,272,287,309,384,187,264,254,189,172,283,248,250,293
evm.TU.Chr05.139,598,1273,1435,335,1493,1575,209,826,306,913,1697,1327,781,1131,866,924,857,205
evm.TU.Chr05.140,21662,18669,14825,13466,17823,19277,13231,15429,15539,14119,17667,17549,11943,12630,16937,14114,15266,15126
evm.TU.Chr05.142,23,2,0,8,0,92,3,6,56,0,4,8,0,73,28,0,58,1
evm.TU.Chr05.143,13,2,0,20,0,47,4,4,43,0,0,0,3,52,42,1,41,0
evm.TU.Chr05.144,2201,917,271,2782,3933,1035,2118,1234,2409,741,1823,2834,2106,950,2166,2164,1592,867
evm.TU.Chr05.145,117,85,23,73,105,65,83,94,20,80,28,253,29,166,267,58,126,29
evm.TU.Chr05.146,8751,9596,7963,6217,8339,9066,7278,7552,7000,6703,7726,6946,6204,7396,7389,7826,6346,7566
evm.TU.Chr05.147,434,468,373,394,514,622,356,511,492,333,562,483,348,371,494,441,545,401
evm.TU.Chr05.149,158,177,18,445,668,158,102,625,131,127,389,519,138,66,189,483,274,294
evm.TU.Chr05.150,24,97,151,201,74,83,70,89,118,55,112,179,42,50,58,66,94,105
evm.TU.Chr05.151,3724,3186,2622,4052,3717,4082,3280,3145,3914,2940,3114,3500,2709,2364,3044,3157,3143,3565
evm.TU.Chr05.152,139,9,6,73,24,100,153,36,21,68,16,30,44,32,34,49,4,99
evm.TU.Chr05.153,1333,2485,1660,1129,2078,1598,1984,1632,2605,1332,2073,1560,886,801,1679,1496,1681,3261
evm.TU.Chr05.154,2160,3041,2208,1268,3553,3464,3491,2774,2715,4086,1865,1342,2316,2369,3334,3708,3219,3214
evm.TU.Chr05.155,17254,15913,14789,19951,15717,18890,13575,14924,17310,13204,15808,17786,13760,13360,15983,15487,15663,14940
evm.TU.Chr05.156,0,1,0,2,6,2,0,3,6,4,2,2,10,2,21,13,73,5
evm.TU.Chr05.157,54,419,97,77,76,81,102,56,99,54,84,140,101,59,109,148,33,68
evm.TU.Chr05.158,1313,1431,960,1112,1313,1191,1579,1268,1615,991,1247,898,1179,1174,1248,1207,1380,983
evm.TU.Chr05.159,3888,4721,4503,2988,4384,5922,4147,4681,4582,4248,5384,5262,3769,4199,3883,4867,4716,3779
evm.TU.Chr05.160,8,2,55,11,60,2,56,13,664,4,1,8,18,8,42,7,52,0
evm.TU.Chr05.161,312,696,264,301,444,254,521,251,288,304,277,260,192,362,257,167,219,243
evm.TU.Chr05.162,60,114,35,177,66,109,104,26,70,77,1111,247,52,110,228,59,125,55
evm.TU.Chr05.163,194,283,82,237,235,143,255,160,185,130,104,166,124,160,167,154,138,161
evm.TU.Chr05.164,35,7,9,288,12,8,2,20,22,53,7,18,10,11,18,2,6,7
evm.TU.Chr05.167,968,1336,1058,1345,1130,1563,1006,1055,1600,917,944,1068,696,1004,1537,1007,1210,738
evm.TU.Chr05.168,3397,4779,6512,3459,5300,4263,3531,5454,5307,3392,4524,4964,3570,5004,4546,4031,6739,3397
evm.TU.Chr05.169,24953,27057,27024,27929,32384,27344,28836,27225,21998,23708,29412,31735,22894,21324,26747,25430,24631,26215
evm.TU.Chr05.170,2,6,3,0,14,0,3,3,11,7,13,11,5,6,15,3,9,10
evm.TU.Chr05.171,1102,2214,1463,870,1190,1313,1011,1282,1498,1000,1382,1206,1071,1045,1435,1127,727,1085
evm.TU.Chr05.172,4440,6207,7187,5894,6630,7186,7376,9706,12048,4130,7233,7674,5360,5251,8541,5118,7065,5589
evm.TU.Chr05.173,471,472,278,269,761,1070,1085,660,752,486,641,373,333,671,517,482,942,686
evm.TU.Chr05.174,85,299,105,204,190,215,198,189,148,178,195,296,195,159,244,237,288,269
evm.TU.Chr05.175,1485,1792,1874,1738,2545,2032,2017,2184,2206,1741,1846,2021,1560,1557,2805,1814,2171,1575
evm.TU.Chr05.176,133,226,228,135,157,204,211,227,216,222,183,106,145,188,210,186,181,207
evm.TU.Chr05.177,17,95,78,157,35,95,49,147,40,102,57,93,26,33,125,3,341,118
evm.TU.Chr05.178,28,21,37,157,4,33,0,182,5,41,37,118,0,3,35,0,135,11
evm.TU.Chr05.179,355,400,25,323,194,209,260,338,318,305,412,345,114,182,235,346,328,268
evm.TU.Chr05.180,3062,2668,2520,2867,2477,3016,3061,2609,3304,2376,2713,2914,2331,2692,2533,2782,2880,2593
evm.TU.Chr05.181,985,891,888,650,1134,897,862,373,1080,662,1189,779,903,1319,763,675,1520,862
evm.TU.Chr05.182,905,1739,1325,1914,1553,2022,1946,1767,1526,1367,1946,2031,1456,2223,1848,1405,1562,1634
evm.TU.Chr05.183,1633,1097,1020,1961,1047,946,1002,941,1603,833,1012,987,737,842,1110,803,1210,1061
evm.TU.Chr05.184,0,17,0,25,0,1,2,0,10,0,6,1,0,0,4,0,6,0
evm.TU.Chr05.185,0,5,0,70,0,2,0,0,15,2,4,0,3,0,19,0,11,6
evm.TU.Chr05.186,4566,2048,2084,1099,683,4082,1272,2534,1165,1848,1779,2244,1033,1794,1483,1835,684,1111
evm.TU.Chr05.187,1328,1059,1136,1577,526,1557,978,513,1089,759,469,623,524,737,1149,332,171,185
evm.TU.Chr05.188,157,163,287,164,280,236,204,157,550,146,410,236,208,137,458,374,338,325
evm.TU.Chr05.190,4633,4503,3191,4141,3902,4513,4645,3735,2868,3425,4017,4859,3401,3868,3569,3697,3685,3542
evm.TU.Chr05.191,19962,18520,16583,17794,18335,20287,18320,16212,18703,16606,19224,19353,14229,16601,20073,18491,17919,18107
evm.TU.Chr05.193,6091,6278,4753,5366,6218,5970,5160,4988,6078,4235,5681,5606,4494,5311,6221,5522,4563,4845
evm.TU.Chr05.194,291,1342,398,423,651,778,558,686,545,745,910,767,420,764,626,468,550,586
evm.TU.Chr05.195,968,846,960,861,878,1043,555,946,1205,597,786,856,585,801,586,666,1324,986
evm.TU.Chr05.196,476,353,272,1300,177,201,21,193,725,94,126,117,61,59,127,283,83,348
evm.TU.Chr05.198,200,308,598,223,323,392,226,217,406,91,226,20,97,271,439,84,82,190
evm.TU.Chr05.199,1128,1500,2511,1114,782,932,2462,1594,1890,529,2037,1269,697,498,777,736,1004,1196
evm.TU.Chr05.200,1630,1035,1368,2532,1126,1998,1463,1550,1442,1427,1646,1345,1822,1132,983,1348,2021,1641
evm.TU.Chr05.201,1538,2087,1612,1687,1666,1691,1548,1480,2027,1456,1553,1904,1670,2244,1956,2045,1717,1582
evm.TU.Chr05.202,1450,1537,1212,1053,965,1161,912,1345,1209,952,1026,1296,673,906,1191,1099,1357,1584
evm.TU.Chr05.203,69,104,51,72,139,82,33,45,106,86,77,70,40,82,18,44,56,64
evm.TU.Chr05.204,15572,20119,19215,13377,18789,20705,19209,14845,21337,23122,23432,24622,17546,21683,17551,20203,19170,19216
evm.TU.Chr05.205,246,300,475,146,276,672,157,392,590,633,185,782,84,366,521,430,217,407
evm.TU.Chr05.206,5506,5869,7971,7159,5628,6051,5433,5177,7048,5908,4530,6410,3238,6084,7413,5821,7461,6313
evm.TU.Chr05.208,240,220,165,36,505,402,406,327,283,384,194,304,476,347,476,957,910,482
evm.TU.Chr05.209,196,129,24,246,172,468,150,88,164,677,162,79,592,213,370,1153,384,718
evm.TU.Chr05.211,2836,5370,6420,3493,6230,10505,5754,7354,5955,5221,6466,5377,5549,4737,5886,4135,5110,5505
evm.TU.Chr05.213,0,0,1,0,1,0,0,0,2,6,0,0,4,0,5,0,10,2
evm.TU.Chr05.216,3,20,2,5,3,0,3,0,0,1,3,4,5,0,0,2,2,2
evm.TU.Chr05.217,317,328,105,248,236,423,264,321,458,267,319,473,342,418,344,351,299,217
evm.TU.Chr05.218,41491,41404,47075,16399,38745,75496,36627,40079,35956,37657,41745,38411,44136,43800,50526,41955,39928,34002
evm.TU.Chr05.219,68277,74043,74945,33247,64998,122859,61631,58004,58702,57415,62949,62012,65451,73712,75305,62682,64734,54790
evm.TU.Chr05.220,6094,5763,6946,3894,4184,5021,4925,3478,6146,5047,5359,5675,2726,4581,3168,5239,6010,5223
evm.TU.Chr05.221,5562,6751,6415,5503,6423,7463,5698,6381,6018,4925,7124,6334,4958,4915,7152,6751,6122,6163
evm.TU.Chr05.223,1,17,0,0,0,29,0,3,162,2,0,317,0,5,0,0,0,2
evm.TU.Chr05.224,2,0,0,0,2,4,25,3,18,0,4,1,0,4,2,0,50,0
evm.TU.Chr05.225,0,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,0,0
evm.TU.Chr05.226,19,0,0,19,0,86,0,0,2,110,15,16,2,207,0,1,146,19
evm.TU.Chr05.227,80,185,78,171,144,178,319,146,344,226,159,284,242,133,362,224,212,235
evm.TU.Chr05.228,49,34,45,45,89,128,116,185,1040,131,0,64,129,95,0,94,82,674
evm.TU.Chr05.229,238,303,4,199,151,205,322,44,192,187,262,414,311,216,52,280,235,172
evm.TU.Chr05.230,48,447,121,157,171,269,122,304,81,129,499,208,71,202,66,96,30,58
evm.TU.Chr05.231,3930,3745,3451,3095,3660,4140,3460,3614,3778,3524,4186,4627,3273,3648,4165,3629,3958,4074
evm.TU.Chr05.232,2451,3825,2798,2455,3994,3720,3193,3978,3791,3193,3505,3476,2823,3349,2878,3032,3492,3342
evm.TU.Chr05.233,150,218,140,143,318,171,170,250,247,265,217,238,203,200,234,328,261,231
evm.TU.Chr05.234,1070,1543,1219,1239,1462,1057,1101,1591,1411,940,1187,1339,869,1196,1433,1134,1398,1187
evm.TU.Chr05.235,445,706,436,365,652,839,512,702,601,697,490,674,639,1060,658,644,650,518
evm.TU.Chr05.236,2904,4019,3185,3285,4066,5767,3611,3907,3973,5653,4597,5260,3241,7342,3725,3826,3339,3961
evm.TU.Chr05.237,323,563,341,1510,120,317,222,244,156,197,199,210,135,196,134,186,576,186
evm.TU.Chr05.238,39854,15005,12967,15559,14659,27186,15121,11614,26402,12589,11513,15556,7283,11400,4638,15108,28434,8414
evm.TU.Chr05.239,0,8,4,38,0,2,0,0,0,103,13,2,0,0,4,0,2,0
evm.TU.Chr05.240,1432,471,380,507,704,454,206,237,1139,271,216,571,200,77,261,1072,556,318
evm.TU.Chr05.241,3710,1775,2691,2660,862,683,852,275,1278,44,813,1394,905,162,433,2709,465,542
evm.TU.Chr05.242,5916,1510,7485,4703,4549,3478,4687,1245,5302,3963,3219,6187,2435,893,1823,14679,2010,3144
evm.TU.Chr05.243,1310,1249,774,1748,1077,912,788,1219,1364,982,1190,1007,923,951,1424,1127,1179,1085
evm.TU.Chr05.245,4,13,0,0,0,0,1,2,1,0,3,0,0,1,0,0,0,0
evm.TU.Chr05.246,0,120,0,0,73,0,2,65,380,0,1975,49,256,0,9,88,50,30
evm.TU.Chr05.248,0,0,12,0,0,0,0,0,0,13,0,0,0,0,2,16,0,5
evm.TU.Chr05.249,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.253,11,3,195,1,1,0,509,184,785,7,6,32,290,1,475,473,4,10
evm.TU.Chr05.255,125,36,82,52,63,129,116,234,163,98,26,113,105,40,32,163,54,53
evm.TU.Chr05.256,433,165,268,352,158,461,435,654,566,291,250,223,424,171,114,447,132,180
evm.TU.Chr05.257,4,1,13,11,0,2056,0,0,13,1285,3,4,4,1145,32,16,20,8
evm.TU.Chr05.258,7,82,201,13,113,187,28,16,68,150,199,18,35,122,76,104,90,105
evm.TU.Chr05.259,22,103,2,85,79,125,1,46,38,41,15,44,77,39,33,36,17,45
evm.TU.Chr05.260,272,321,97,187,243,240,113,274,183,130,41,180,26,129,95,35,120,132
evm.TU.Chr05.261,0,946,0,17,932,77,0,2601,0,25,1267,755,1,40,6,0,11,1
evm.TU.Chr05.262,51,83,18,16,15,1,8,38,0,21,29,19,16,0,14,6,5,9
evm.TU.Chr05.263,117,409,158,169,152,129,16,323,77,25,72,350,71,37,79,102,110,79
evm.TU.Chr05.264,15,540,418,162,90,83,246,301,55,115,37,163,98,30,60,135,107,399
evm.TU.Chr05.265,505,604,454,670,637,667,490,410,465,282,309,402,305,385,422,316,331,470
evm.TU.Chr05.266,25,95,28,63,0,6,118,47,20,4,0,155,2,2,21,0,96,74
evm.TU.Chr05.267,242,400,273,166,240,131,325,178,71,52,250,355,109,91,126,136,731,236
evm.TU.Chr05.268,1231,1105,1703,948,1026,1010,1407,959,1055,670,974,797,506,847,955,1034,797,1184
evm.TU.Chr05.269,1665,2357,2549,2879,2739,2638,3179,2484,2567,1888,2374,2367,1559,1843,2611,2501,2254,2293
evm.TU.Chr05.270,1016,1493,1265,1370,2133,1182,1675,1808,2272,1991,2142,1715,1921,1888,1904,1559,2066,1854
evm.TU.Chr05.271,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
evm.TU.Chr05.272,1896,3282,3302,3303,4356,3159,3763,4300,4138,3885,4242,4278,3935,4007,4586,3078,4837,4270
evm.TU.Chr05.273,293,267,540,290,805,552,224,388,372,365,394,311,166,384,589,211,1158,459
evm.TU.Chr05.274,400,503,29,122,314,278,303,1204,847,306,630,257,291,347,950,505,618,384
evm.TU.Chr05.275,78,274,119,210,229,114,67,83,132,75,275,90,75,115,290,60,837,92
evm.TU.Chr05.276,19,46,0,11,0,0,0,25,20,0,19,0,3,10,39,0,0,0
evm.TU.Chr05.278,1850,4111,4035,1682,2580,2690,1060,2945,2802,2172,2735,1815,1637,2371,3162,2171,2974,2361
evm.TU.Chr05.279,145,439,441,330,509,523,493,453,508,440,766,647,301,476,421,424,587,579
evm.TU.Chr05.280,3986,3606,3637,3550,3518,4512,3977,3614,4015,3476,3752,3574,3326,3593,3855,3657,4063,3431
evm.TU.Chr05.281,171,226,303,256,71,469,287,348,185,322,494,309,359,457,687,192,517,346
